n	total	0.1	3.1	3.1c3.1	3.1c3.1m	4.1	5.1	5.2	v2
3	20000	19757.0	243.0	0.0	0.0	0.0	0.0	0.0	0.04885
4	20000	19261.0	697.0	0.0	0.0	42.0	0.0	0.0	0.1255
5	20000	18743.0	1128.0	0.0	0.0	120.0	0.0	9.0	0.2088
6	20000	18130.0	1612.0	0.0	2.0	234.0	7.0	14.0	0.29225
7	20000	17442.0	2097.0	7.0	8.0	358.0	20.0	60.0	0.3857
8	20000	16834.0	2489.0	11.0	6.0	458.0	43.0	118.0	0.4803
9	20000	16164.0	2901.0	18.0	21.0	618.0	58.0	154.0	0.57315
10	20000	15572.0	3253.0	33.0	34.0	673.0	70.0	234.0	0.6648
11	20000	14723.0	3662.0	44.0	59.0	900.0	121.0	286.0	0.76955
12	20000	14231.0	3921.0	79.0	66.0	906.0	119.0	356.0	0.86295
13	20000	13696.0	4050.0	104.0	82.0	1101.0	171.0	407.0	0.96065
14	20000	13136.0	4263.0	123.0	106.0	1133.0	200.0	478.0	1.0556
15	20000	12548.0	4495.0	147.0	149.0	1221.0	227.0	518.0	1.15525
16	20000	12105.0	4487.0	170.0	172.0	1266.0	252.0	619.0	1.25355
17	20000	11578.0	4598.0	194.0	197.0	1323.0	269.0	669.0	1.34995
18	20000	10899.0	4829.0	224.0	260.0	1461.0	305.0	723.0	1.4668
19	20000	10395.0	4875.0	249.0	268.0	1490.0	339.0	754.0	1.5521
20	20000	9979.0	5066.0	272.0	283.0	1501.0	337.0	804.0	1.66
21	20000	9768.0	4877.0	343.0	301.0	1483.0	393.0	837.0	1.76375
22	20000	9208.0	4885.0	351.0	319.0	1572.0	399.0	869.0	1.8618
23	20000	8716.0	4942.0	395.0	384.0	1522.0	372.0	914.0	1.9604
24	20000	8523.0	4906.0	353.0	374.0	1528.0	437.0	927.0	2.06105
25	20000	8051.0	4871.0	372.0	432.0	1605.0	444.0	1028.0	2.1644
26	20000	7767.0	4883.0	414.0	435.0	1586.0	414.0	958.0	2.26185
27	20000	7442.0	4881.0	409.0	453.0	1551.0	434.0	987.0	2.3723
28	20000	7150.0	4801.0	453.0	443.0	1612.0	413.0	999.0	2.4704
29	20000	6688.0	4849.0	460.0	487.0	1520.0	505.0	1094.0	2.5693
30	20000	6442.0	4690.0	520.0	487.0	1565.0	458.0	1022.0	2.66635
31	20000	6187.0	4750.0	521.0	555.0	1487.0	469.0	1013.0	2.77275
32	20000	5881.0	4536.0	536.0	569.0	1548.0	467.0	954.0	2.8807
33	20000	5643.0	4410.0	546.0	558.0	1475.0	464.0	1022.0	2.9912
34	20000	5476.0	4246.0	562.0	564.0	1448.0	462.0	1004.0	3.08525
35	20000	5113.0	4283.0	541.0	572.0	1484.0	486.0	991.0	3.18065
36	20000	4869.0	4144.0	582.0	587.0	1461.0	459.0	1003.0	3.32125
37	19998	4681.0	4020.0	570.0	560.0	1405.0	458.0	1017.0	3.400340034
38	19999	4435.0	4039.0	586.0	614.0	1402.0	452.0	980.0	3.50452522626
39	19999	4284.0	3961.0	590.0	564.0	1419.0	465.0	940.0	3.61643082154
40	19996	4049.0	3763.0	621.0	650.0	1358.0	477.0	1001.0	3.71589317864
41	19991	3849.0	3773.0	613.0	576.0	1275.0	460.0	994.0	3.80941423641
42	19993	3702.0	3634.0	590.0	583.0	1267.0	471.0	944.0	3.9338768569
43	19982	3491.0	3644.0	596.0	618.0	1215.0	442.0	897.0	4.0393854469
44	19975	3412.0	3463.0	564.0	627.0	1206.0	426.0	904.0	4.13521902378
45	19971	3296.0	3386.0	594.0	581.0	1197.0	414.0	855.0	4.24555605628
46	19958	3069.0	3237.0	614.0	657.0	1151.0	415.0	881.0	4.34211844874
47	19952	2972.0	3192.0	631.0	613.0	1102.0	424.0	801.0	4.45784883721
48	19932	2857.0	3050.0	594.0	594.0	1140.0	423.0	868.0	4.5428456753
49	19881	2636.0	2915.0	574.0	585.0	1082.0	384.0	799.0	4.64247271264
50	19867	2548.0	2767.0	570.0	621.0	1013.0	393.0	824.0	4.76478582574
51	19796	2324.0	2757.0	578.0	615.0	1008.0	369.0	732.0	4.88603758335
52	19736	2208.0	2676.0	546.0	564.0	894.0	369.0	752.0	4.98571139035
53	19685	2216.0	2556.0	591.0	572.0	912.0	355.0	697.0	5.08905257811
54	19616	2092.0	2341.0	556.0	546.0	896.0	365.0	744.0	5.17444942904
55	19499	1908.0	2416.0	546.0	561.0	901.0	330.0	625.0	5.27432176009
56	19353	1884.0	2236.0	529.0	499.0	811.0	335.0	646.0	5.38862191908
57	19253	1812.0	2233.0	518.0	579.0	769.0	306.0	599.0	5.50132446891
58	19078	1650.0	2203.0	488.0	522.0	810.0	317.0	610.0	5.62936366495
59	18898	1492.0	2077.0	499.0	531.0	778.0	339.0	612.0	5.69134299926
60	18713	1507.0	1931.0	503.0	457.0	720.0	326.0	571.0	5.84973013413
61	18520	1361.0	1824.0	495.0	513.0	696.0	263.0	561.0	5.90982721382
62	18393	1409.0	1764.0	478.0	451.0	628.0	262.0	484.0	6.01940955798
63	18034	1294.0	1671.0	441.0	464.0	645.0	267.0	487.0	6.12210269491
64	17865	1197.0	1624.0	450.0	448.0	619.0	219.0	468.0	6.2272600056
65	17596	1129.0	1574.0	400.0	406.0	565.0	250.0	419.0	6.34894294158
66	17209	1028.0	1468.0	416.0	433.0	521.0	257.0	453.0	6.44302399907
67	16846	965.0	1400.0	362.0	408.0	520.0	226.0	406.0	6.54618307017
68	16486	916.0	1372.0	390.0	380.0	494.0	154.0	375.0	6.64721581948
69	16297	767.0	1264.0	331.0	352.0	443.0	196.0	409.0	6.81137632693
